1,ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,unidade
78,2015,publica,Fundamental 2,finais (6-9),84.1,0.84192783,250.57,247.33,4.9650002,4.2,4.5,1
79,2015,publica,Fundamental 1,iniciais (1-5),92.2,0.92282218,214.55,202.28,5.7416983,5.3,5.0,1
80,2015,publica,Médio,todos (1-4),79.8,0.81974769,260.04,260.88,4.2471504,3.5,4.0,1
84,2017,estadual,Fundamental 2,finais (6-9),86.8,0.86815858,252.99,254.83,5.1303334,4.5,4.8,1
85,2017,estadual,Fundamental 1,iniciais (1-5),95.6,0.95722812,227.89,218.55,6.2927403,6.0,5.6,1
86,2017,estadual,Médio,todos (1-4),81.2,0.82060015,259.92,260.11,4.2340879,3.5,4.4,1
87,2017,municipal,Fundamental 2,finais (6-9),84.2,0.84629679,249.99,251.86,5.0308332,4.3,4.6,1
88,2017,municipal,Fundamental 1,iniciais (1-5),92.5,0.92569715,220.02,210.89,6.0028358,5.6,5.1,1
89,2017,privada,Fundamental 2,finais (6-9),96.5,0.96499377,302.67,293.95,6.6106668,6.4,7.0,1
90,2017,privada,Fundamental 1,iniciais (1-5),98.6,0.98539811,251.82,241.61,7.1692595,7.1,7.2,1
91,2017,privada,Médio,todos (1-4),95.7,0.95509303,329.66,314.88,6.0333428,5.8,6.7,1
92,2017,publica,Fundamental 2,finais (6-9),85.5,0.85661644,251.97,253.77,5.0956669,4.4,4.7,1
93,2017,publica,Fundamental 1,iniciais (1-5),93.0,0.93110186,218.58,209.16,5.9438605,5.5,5.2,1
94,2017,publica,Médio,todos (1-4),81.4,0.82526267,260.32,260.42,4.2444873,3.5,4.4,1
98,2019,estadual,Fundamental 2,finais (6-9),90.0,0.89995557,258.02,256.57,5.2435002,4.7,5.1,1
99,2019,estadual,Fundamental 1,iniciais (1-5),96.3,0.96400458,230.88,217.55,6.3313074,6.1,5.9,1
100,2019,estadual,Médio,todos (1-4),84.5,0.85342127,268.6,272.01,4.5342822,3.9,4.6,1
101,2019,municipal,Fundamental 2,finais (6-9),87.3,0.87671322,255.57,254.1,5.1611667,4.5,4.9,1
102,2019,municipal,Fundamental 1,iniciais (1-5),93.9,0.93969482,223.89,210.77,6.074789,5.7,5.4,1
103,2019,privada,Fundamental 2,finais (6-9),97.1,0.97149771,302.91,293.64,6.6093335,6.4,7.1,1
104,2019,privada,Fundamental 1,iniciais (1-5),98.8,0.98839897,253.47,240.71,7.1842332,7.1,7.4,1
105,2019,privada,Médio,todos (1-4),96.4,0.96670187,334.72,322.1,6.2126436,6.0,6.8,1
106,2019,publica,Fundamental 2,finais (6-9),88.6,0.88778669,257.17,255.67,5.2143335,4.6,5.0,1
107,2019,publica,Fundamental 1,iniciais (1-5),94.3,0.94359839,222.41,209.05,6.0150313,5.7,5.5,1
108,2019,publica,Médio,todos (1-4),84.7,0.85902554,269.02,272.32,4.5448217,3.9,4.7,1
